artifact_key,class_id,detector_correct,fingerprint,model,rep,requested_pole,run_id,strip_level,task_id,trace_available,valid_artifact
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_polynomial|trapezoidal|4|no_comments,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,4,trapezoidal,core_v2_generalization_local_quadrature_001,no_comments,integrate_polynomial,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_polynomial|trapezoidal|4|renamed,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,4,trapezoidal,core_v2_generalization_local_quadrature_001,renamed,integrate_polynomial,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_polynomial|trapezoidal|4|no_imports,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,4,trapezoidal,core_v2_generalization_local_quadrature_001,no_imports,integrate_polynomial,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_polynomial|trapezoidal|4|format_normalized,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,4,trapezoidal,core_v2_generalization_local_quadrature_001,format_normalized,integrate_polynomial,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_polynomial|trapezoidal|5|raw,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,5,trapezoidal,core_v2_generalization_local_quadrature_001,raw,integrate_polynomial,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_polynomial|trapezoidal|5|no_comments,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,5,trapezoidal,core_v2_generalization_local_quadrature_001,no_comments,integrate_polynomial,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_polynomial|trapezoidal|5|renamed,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,5,trapezoidal,core_v2_generalization_local_quadrature_001,renamed,integrate_polynomial,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_polynomial|trapezoidal|5|no_imports,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,5,trapezoidal,core_v2_generalization_local_quadrature_001,no_imports,integrate_polynomial,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_polynomial|trapezoidal|5|format_normalized,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,5,trapezoidal,core_v2_generalization_local_quadrature_001,format_normalized,integrate_polynomial,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|1|raw,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,1,simpson,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|1|no_comments,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,1,simpson,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|1|renamed,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,1,simpson,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|1|no_imports,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,1,simpson,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|1|format_normalized,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,1,simpson,core_v2_generalization_local_quadrature_001,format_normalized,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|2|raw,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,2,simpson,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|2|no_comments,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,2,simpson,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|2|renamed,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,2,simpson,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|2|no_imports,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,2,simpson,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|2|format_normalized,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,2,simpson,core_v2_generalization_local_quadrature_001,format_normalized,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|3|raw,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,3,simpson,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|3|no_comments,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,3,simpson,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|3|renamed,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,3,simpson,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|3|no_imports,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,3,simpson,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|3|format_normalized,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,3,simpson,core_v2_generalization_local_quadrature_001,format_normalized,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|4|raw,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,4,simpson,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|4|no_comments,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,4,simpson,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|4|renamed,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,4,simpson,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|4|no_imports,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,4,simpson,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|4|format_normalized,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,4,simpson,core_v2_generalization_local_quadrature_001,format_normalized,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|5|raw,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,5,simpson,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|5|no_comments,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,5,simpson,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|5|renamed,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,5,simpson,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|5|no_imports,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,5,simpson,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|simpson|5|format_normalized,B,true,4376646679875f6821917f9697e99871f45b331394b8a4de58c2b96548f9f15a,ollama__devstral__latest,5,simpson,core_v2_generalization_local_quadrature_001,format_normalized,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|1|raw,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,1,trapezoidal,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|1|no_comments,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,1,trapezoidal,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|1|renamed,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,1,trapezoidal,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|1|no_imports,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,1,trapezoidal,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|1|format_normalized,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,1,trapezoidal,core_v2_generalization_local_quadrature_001,format_normalized,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|2|raw,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,2,trapezoidal,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|2|no_comments,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,2,trapezoidal,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|2|renamed,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,2,trapezoidal,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|2|no_imports,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,2,trapezoidal,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|2|format_normalized,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,2,trapezoidal,core_v2_generalization_local_quadrature_001,format_normalized,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|3|raw,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,3,trapezoidal,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|3|no_comments,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,3,trapezoidal,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|3|renamed,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,3,trapezoidal,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|3|no_imports,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,3,trapezoidal,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|3|format_normalized,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,3,trapezoidal,core_v2_generalization_local_quadrature_001,format_normalized,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|4|raw,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,4,trapezoidal,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|4|no_comments,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,4,trapezoidal,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|4|renamed,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,4,trapezoidal,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|4|no_imports,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,4,trapezoidal,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|4|format_normalized,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,4,trapezoidal,core_v2_generalization_local_quadrature_001,format_normalized,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|5|raw,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,5,trapezoidal,core_v2_generalization_local_quadrature_001,raw,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|5|no_comments,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,5,trapezoidal,core_v2_generalization_local_quadrature_001,no_comments,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|5|renamed,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,5,trapezoidal,core_v2_generalization_local_quadrature_001,renamed,integrate_sin_0_pi,True,true
core_v2_generalization_local_quadrature_001|ollama__devstral__latest|integrate_sin_0_pi|trapezoidal|5|no_imports,B,true,bc029108d6e1349aaea6c74302ba9ea0f3bcc7dc54cacdeced4f880c7f8b7ad3,ollama__devstral__latest,5,trapezoidal,core_v2_generalization_local_quadrature_001,no_imports,integrate_sin_0_pi,True,true
